,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-519a-1,hsa-mir-519a-1,grey,0.060291011,0.454666054,-0.035468824,0.660240641,0.084426822,0.294692941,0.256610996,0.001222339
hsa-mir-198,hsa-mir-198,grey,0.060044242,0.456517799,0.103608732,0.198048273,0.218137725,0.006225685,0.24027223,0.002517333
hsa-mir-564,hsa-mir-564,grey,0.060044242,0.456517799,0.062221074,0.440328351,0.005174172,0.948885776,-0.006720444,0.933641479
hsa-mir-3660,hsa-mir-3660,grey,0.060044242,0.456517799,-0.000471929,0.995334802,0.047793771,0.553527998,-0.013339524,0.868725188
hsa-mir-585,hsa-mir-585,grey,0.059977623,0.457018421,0.47018155,5.91E-10,0.390472863,4.67E-07,0.217539073,0.006372756
hsa-mir-1289-1,hsa-mir-1289-1,grey,0.059789837,0.458431232,0.052402225,0.515894872,0.205143018,0.010198916,0.076714646,0.341166386
hsa-mir-3191,hsa-mir-3191,grey,-0.059411128,0.461287806,0.030225786,0.707980779,0.226042932,0.00454842,0.184528597,0.021106975
hsa-mir-1246,hsa-mir-1246,grey,0.05940647,0.461323005,-0.091961089,0.253546616,-0.050958411,0.527542293,-0.056975383,0.479893893
hsa-mir-3130-1,hsa-mir-3130-1,grey,0.059391302,0.461437627,0.160604294,0.045195024,0.237504067,0.00283203,0.292155312,0.000214967
hsa-mir-3646,hsa-mir-3646,grey,0.059354339,0.461717016,-0.007875398,0.922270483,0.083176028,0.30193014,-0.03788187,0.638706773
hsa-mir-3943,hsa-mir-3943,grey,0.059025955,0.464203217,0.073465209,0.362067338,0.240653235,0.002476593,0.0845338,0.294079345
hsa-mir-320e,hsa-mir-320e,grey,0.058910098,0.465082137,0.076137774,0.344819981,0.290535411,0.000233884,0.037128739,0.645396427
hsa-mir-934,hsa-mir-934,grey,0.058769172,0.466152459,-0.005004004,0.950564652,0.131517494,0.101722737,0.087037652,0.279960226
